,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2024-02-19 00:00:00,30.3,,,0.42,2.0,,121,28,75,5
1,2024-02-19 01:00:00,31.0,,,,,,121,28,75,5
2,2024-02-19 02:00:00,18.4,,,0.37,0.0,,121,28,74,5
3,2024-02-19 03:00:00,25.2,,,0.38,0.0,,121,28,74,5
4,2024-02-19 04:00:00,24.7,,,0.39,0.0,,121,28,74,5
5,2024-02-19 05:00:00,30.9,,,0.41,0.0,,121,27,76,5
6,2024-02-19 06:00:00,26.3,,,0.52,2.0,,121,27,77,5
7,2024-02-19 07:00:00,28.8,,,0.62,7.0,,121,28,72,6
8,2024-02-19 08:00:00,24.5,,,0.48,4.0,,121,31,62,6
9,2024-02-19 09:00:00,22.1,,,0.5,4.0,,121,32,58,6
10,2024-02-19 10:00:00,26.8,,,0.48,4.0,,121,33,55,6
11,2024-02-19 11:00:00,23.1,,,0.5,5.0,,121,33,55,6
12,2024-02-19 12:00:00,24.8,,,0.46,4.0,,121,33,55,7
13,2024-02-19 13:00:00,22.3,,,0.47,3.0,,121,33,56,7
14,2024-02-19 14:00:00,23.7,,,0.54,3.0,,121,35,52,7
15,2024-02-19 15:00:00,22.5,,,0.5,3.0,,121,34,53,7
16,2024-02-19 16:00:00,23.2,,,0.45,5.0,,121,34,56,7
17,2024-02-19 17:00:00,24.0,,,0.59,11.0,,121,32,60,6
18,2024-02-19 18:00:00,25.1,,,0.62,13.0,,121,31,66,6
19,2024-02-19 19:00:00,26.0,,,0.52,8.0,,121,30,72,6
20,2024-02-19 20:00:00,26.8,,,0.52,8.0,,121,29,72,6
21,2024-02-19 21:00:00,32.1,,,0.49,5.0,,121,30,71,6
22,2024-02-19 22:00:00,29.2,,,0.45,3.0,,121,30,71,6
23,2024-02-19 23:00:00,25.2,,,0.4,2.0,,121,30,71,6
24,2024-02-20 00:00:00,28.3,,,0.41,2.0,,121,30,74,6
25,2024-02-20 01:00:00,21.8,,,0.36,0.0,,121,29,76,5
26,2024-02-20 02:00:00,24.6,,,,,,121,29,78,5
27,2024-02-20 03:00:00,17.8,,,0.41,1.0,,121,28,77,5
28,2024-02-20 04:00:00,21.3,,,0.41,0.0,,121,28,78,5
29,2024-02-20 05:00:00,22.7,,,0.42,2.0,,121,28,82,5
30,2024-02-20 06:00:00,21.0,,,0.49,6.0,,121,28,83,5
31,2024-02-20 07:00:00,21.5,,,0.61,7.0,,121,29,79,5
32,2024-02-20 08:00:00,24.2,,,0.5,5.0,,121,30,69,6
33,2024-02-20 09:00:00,23.1,,,0.47,4.0,,121,32,61,6
34,2024-02-20 10:00:00,22.4,,,0.47,6.0,,121,33,56,7
35,2024-02-20 11:00:00,20.0,,,0.46,3.0,,121,34,51,7
36,2024-02-20 12:00:00,22.8,,,0.46,4.0,,121,35,48,7
37,2024-02-20 13:00:00,17.1,,,0.47,4.0,,121,36,44,7
38,2024-02-20 14:00:00,18.2,,,0.53,4.0,,121,36,46,7
39,2024-02-20 15:00:00,18.9,,,0.46,2.0,,121,34,50,7
40,2024-02-20 16:00:00,21.0,,,0.5,7.0,,121,34,55,7
41,2024-02-20 17:00:00,20.1,,,0.58,9.0,,121,33,61,6
42,2024-02-20 18:00:00,27.0,,,0.6,11.0,,121,31,70,6
43,2024-02-20 19:00:00,26.3,,,0.54,10.0,,121,30,73,6
44,2024-02-20 20:00:00,24.3,,,0.53,9.0,,121,30,75,6
45,2024-02-20 21:00:00,28.1,,,0.51,7.0,,121,29,75,6
46,2024-02-20 22:00:00,24.6,,,0.47,4.0,,121,30,74,6
47,2024-02-20 23:00:00,23.0,,,0.45,3.0,,121,30,75,6
