Date,PM25,CO,NO2,TEMP,RH
2024-01-01,23.6,0.47,5.93,29.75,74.92
2024-01-02,19.86,0.4,4.14,30.42,66.38
2024-01-03,22.6,0.46,5.55,29.62,70.75
2024-01-04,22.65,0.46,5.22,29.75,69.54
2024-01-05,23.66,0.48,4.86,29.83,68.0
2024-01-06,31.72,0.5,5.51,30.29,65.96
2024-01-07,35.72,0.5,4.22,29.29,70.71
2024-01-08,26.67,0.47,3.85,30.17,69.21
2024-01-09,25.88,0.46,4.6,30.17,65.0
2024-01-10,32.85,0.51,4.97,30.25,68.71
2024-01-11,26.56,0.43,4.97,30.71,65.04
2024-01-12,26.12,0.45,6.76,29.79,66.21
2024-01-13,30.02,0.48,7.3,29.83,68.21
2024-01-14,31.72,0.49,4.69,29.5,64.25
2024-01-15,31.98,0.5,5.26,30.17,62.58
2024-01-16,27.15,0.47,4.11,30.21,63.5
2024-01-17,26.23,0.45,3.47,30.08,65.58
2024-01-18,30.05,0.45,4.12,28.64,71.36
2024-01-19,21.54,0.45,4.8,34.0,50.6
2024-01-25,20.3,0.43,2.86,29.57,66.29
2024-01-26,22.23,0.45,4.82,30.25,60.71
2024-01-27,24.37,0.44,3.49,30.33,60.79
2024-01-28,24.0,0.44,3.63,29.67,64.25
2024-01-29,23.85,0.45,3.94,29.92,60.83
2024-01-30,22.78,0.46,4.66,30.25,59.96
2024-01-31,27.01,0.48,4.74,29.83,62.46
2024-02-01,29.65,0.54,7.93,30.54,59.83
2024-02-02,31.55,0.58,8.6,30.12,62.62
2024-02-03,29.04,0.55,6.97,30.08,66.79
2024-02-04,35.33,0.65,8.8,30.29,67.58
2024-02-05,36.52,0.64,8.43,30.21,65.92
2024-02-06,36.58,0.64,8.68,29.79,71.38
2024-02-07,37.94,0.6,7.89,31.08,65.0
2024-02-08,36.21,0.59,8.85,30.79,65.88
2024-02-09,32.18,0.55,7.72,30.71,65.38
2024-02-10,28.68,0.43,3.2,30.38,62.42
2024-02-11,28.5,0.48,3.94,30.42,58.42
2024-02-12,30.98,0.57,8.05,30.04,61.0
2024-02-13,27.48,0.57,4.05,30.54,57.5
2024-02-14,28.81,0.55,4.82,30.88,59.96
2024-02-15,24.76,0.49,4.63,31.58,58.38
2024-02-16,28.47,0.5,3.73,30.62,60.92
2024-02-17,28.27,0.5,4.01,30.88,58.46
2024-02-18,29.69,0.54,6.6,30.75,56.46
2024-02-19,25.71,0.48,4.22,30.5,65.92
2024-02-20,22.5,0.48,4.8,31.08,67.08
2024-02-21,24.82,0.54,5.1,30.54,71.21
2024-02-22,24.47,0.51,5.35,31.29,62.75
2024-02-23,24.18,0.53,6.84,31.46,62.54
2024-02-24,18.27,0.44,2.85,30.83,58.25
2024-02-25,23.76,0.48,4.18,31.33,58.38
2024-02-26,28.48,0.46,3.46,31.54,56.88
2024-02-27,25.08,0.46,3.35,31.25,56.42
2024-02-28,22.3,0.44,3.88,31.04,60.25
2024-02-29,26.78,0.46,5.53,31.75,55.29
2024-03-01,26.96,0.47,4.62,31.12,58.62
